PLAYER,YEAR,POS,HEIGHT,WEIGHT,BMI,BODY FAT,STANDING REACH,WINGSPAN,HAND LENGTH,HAND WIDTH,STANDING VERTICAL,VERTICAL LEAP,LANE AGILITY,SHUTTLE RUN,THREE QUARTER SPRINT,BENCH PRESS,BAR,PAN,PBH,PDT
"Agbaji, Ochai",2022,SG,76.50,216.8,26.04,5.4,104.0,82.25,8.75,9.5,32.0,39.0,10.77,3.11,3.13,NA,1.075,83.1,136.0,143
"Baldwin Jr., Patrick",2022,SF,81.25,230.8,24.58,8.9,110.5,85.75,8.75,9.5,23.5,26.5,12.25,3.30,3.45,NA,1.055,83.1,134.0,137
"Barlow, Dominick",2022,PF,80.75,221.0,23.83,5.9,108.5,87.00,9.00,10.5,28.5,34.0,11.29,3.19,3.33,NA,1.077,94.5,137.0,142.5
"Beauchamp, MarJon",2022,SG,77.25,196.6,23.16,5.3,106.0,84.75,9.00,9.0,NA,NA,NA,NA,NA,NA,1.097,81.0,NA,NA
"Besson, Hugo",2022,SG,76.50,180.4,21.67,8.8,102.0,77.50,7.50,8.5,24.5,31.5,11.36,3.25,3.40,NA,1.013,63.8,126.5,133.5
"Branham, Malaki",2022,SG,76.00,194.8,23.71,6.1,102.5,82.00,8.50,9.8,29.0,35.0,11.38,3.09,3.17,NA,1.079,83.3,131.5,137.5
"Braun, Christian",2022,SG,77.50,209.2,24.49,6.2,99.5,78.50,8.00,8.5,33.5,40.0,11.00,3.13,3.16,NA,1.013,68.0,133.0,139.5
"Brown, Kendall",2022,SF,78.25,201.2,23.10,4.9,103.0,83.00,9.00,9.0,31.5,41.0,11.57,3.05,3.29,NA,1.061,81.0,134.5,144.0
"Butler Jr., John",2022,PF,83.75,174.4,17.48,4.7,112.0,86.25,8.50,8.8,26.5,28.5,11.16,3.04,3.33,NA,1.030,74.8,138.5,140.5
"Champagnie, Julian",2022,SF,78.25,212.4,24.39,7.1,107.0,82.00,8.75,9.3,28.5,34.5,11.39,3.04,3.14,NA,1.048,81.4,135.5,141.5
"Chandler, Kennedy",2022,PG,71.50,172.2,23.68,4.4,97.0,77.25,8.50,9.5,31.0,41.5,10.73,2.89,NA,NA,1.080,80.8,128.0,138.5
"Christie, Max",2022,SG,76.25,189.2,22.88,4.8,102.5,80.75,8.00,8.5,32.0,37.5,10.82,3.02,3.07,NA,1.059,68.0,134.5,140.0
"Cockburn, Kofi",2022,C,83.00,293.0,29.90,8.2,110.5,88.25,9.75,10.3,29.5,32.5,12.11,3.31,3.33,NA,1.063,100.4,140.0,143.0
"Daniels, Dyson",2022,SG,78.00,195.2,22.56,4.9,105.0,82.50,8.50,9.8,29.0,34.0,10.81,2.81,3.22,NA,1.058,83.3,134.0,139.0
"Davis, Johnny",2022,PG,76.25,196.4,23.75,6.7,103.5,80.50,8.50,10.3,NA,NA,NA,NA,NA,NA,1.056,87.6,NA,NA
"Davison, JD",2022,PG,72.50,191.8,25.65,7.8,99.5,78.50,8.50,9.5,30.0,37.0,11.38,3.23,3.26,NA,1.083,80.8,129.5,136.5
"Diabate, Moussa",2022,C,81.25,216.6,23.07,2.7,109.5,86.50,8.50,10.5,29.0,36.5,11.16,2.90,3.26,NA,1.065,89.3,138.5,146.0
"Eason, Tari",2022,PF,78.75,217.4,24.64,5.9,107.5,86.00,9.25,11.0,NA,NA,NA,NA,NA,NA,1.092,101.8,NA,NA
"Ellis, Keon",2022,SG,75.50,167.4,20.65,3.8,102.0,80.50,8.00,9.3,28.0,35.5,10.87,3.02,3.18,NA,1.066,74.4,130.0,137.5
"Foster Jr., Michael",2022,C,79.75,236.6,26.15,6.2,109.5,84.25,8.75,10.0,28.0,32.5,11.49,3.10,3.22,NA,1.056,87.5,137.5,142.0
"Gillespie, Collin",2022,PG,73.50,195.8,25.48,8.6,98.0,76.00,8.25,9.0,26.5,33.0,10.95,3.01,3.21,NA,1.034,74.3,124.5,131.0
"Harper Jr., Ron",2022,SF,76.00,240.4,29.26,14.3,105.5,85.25,9.50,10.0,26.0,30.5,11.41,3.24,3.40,NA,1.122,95.0,131.5,136.0
"Ingram, Harrison",2022,SF,77.25,232.8,27.42,8.3,103.5,84.25,9.00,10.0,29.5,35.0,11.83,3.26,3.31,NA,1.091,90.0,133.0,138.5
"Jovic, Nikola",2022,SF,81.50,222.6,23.56,7.4,108.5,84.25,8.75,9.8,NA,NA,NA,NA,NA,NA,1.034,85.8,NA,NA
